Name,Symbol,Exchange
Virtual Galaxy,VGINFOTECH,NSE
Logiciel Soluti.,544625,BSE
R M Drip & Sprin,RMDRIP,NSE
Rama Telecom,RTL,NSE
Sawaliya Food,SAWALIYA,NSE
Matrix Geo Sol.,MGSL,NSE
Prudent Corp.,PRUDENT,NSE
My Money Sec.,538862,BSE
Ganesh Housing,GANESHHOU,NSE
Justo Realfin,544542,BSE
Natl. Aluminium,NATIONALUM,NSE
Aten Papers,544417,BSE
True Colors,544531,BSE
Kronox Lab,KRONOX,NSE
Avax Apparels,544337,BSE
TAC Infosec,TAC,NSE
HDFC AMC,HDFCAMC,NSE
Sonalis Consumer,543924,BSE
Mazagon Dock,MAZDOCK,NSE
PAN HR Solution,544698,BSE
Kisaan Parivar,519230,BSE
KSE,519421,BSE
Viviana Power,VIVIANA,NSE
Multi Comm. Exc.,MCX,NSE
Shri Gang Indus,523309,BSE
Timex Group,500414,BSE
Motherson Wiring,MSUMI,NSE
Oriana Power Ltd,ORIANA,NSE
Austere Sys.,544505,BSE
Fluidomat,522017,BSE
Mishtann Foods,539594,BSE
Sahana Systems,SAHANA,NSE
Onesource Indus.,530805,BSE
C D S L,CDSL,NSE
Msafe Equipments,544695,BSE
Prodocs Solution,544643,BSE
KRM Ayurveda,KRMAYURVED,NSE
Positron Energy,POSITRON,NSE
Kimia Bioscien.,530313,BSE
Macfos,543787,BSE
Tanfac Inds.,506854,BSE
K.P. Energy,KPEL,NSE
Humming Bird Edu,542592,BSE
Travel Food,TRAVELFOOD,NSE
Akzo Nobel,AKZOINDIA,NSE
Frontier Springs,522195,BSE
Guj. Terce Labs.,524314,BSE
Triveni Turbine,TRITURBINE,NSE
Supertech EV,544428,BSE
Pace Digitek,PACEDIGITK,NSE
Borana Weaves,BORANA,NSE
Premier Energies,PREMIERENE,NSE
Blue Water,BLUEWATER,NSE
Eforu Entertainment,531190,BSE
Smarten Power,SMARTEN,NSE
MPS,MPSLTD,NSE
Hawkins Cookers,508486,BSE
Victory Ele.,VICTORYEV,NSE
Happy Square,WHITEFORCE,NSE
Schneider Elect.,SCHNEIDER,NSE
Marc Technocrats,MARC,NSE
Evans Electric,542668,BSE
Nippon Life Ind.,NAM-INDIA,NSE
Oracle Fin.Serv.,OFSS,NSE
Riddhi Display,544640,BSE
Solarworld Ene.,SOLARWORLD,NSE
Danish Power,DANISH,NSE
Jainik Power,JAINIK,NSE
Action Const.Eq.,ACE,NSE
KPIT Technologi.,KPITTECH,NSE
Dixon Technolog.,DIXON,NSE
Manav Infra,MANAV,NSE
Jaro Institute,JARO,NSE
Blue Jet Health,BLUEJET,NSE
Nisus Finance,544296,BSE
Ashoka Buildcon,ASHOKA,NSE
Sat Kartar,SATKARTAR,NSE
Kesar India,543542,BSE
Bondada Engineer,543971,BSE
Blue Pebble,BLUEPEBBLE,NSE
Sati Poly,SATIPOLY,NSE
Taurian MPS,TAURIAN,NSE
MRP Agro,543262,BSE
Dynacons Sys.,DSSL,NSE
Indrapr.Medical,INDRAMEDCO,NSE
Siemens Ener.Ind,ENRIN,NSE
Modern Diagnost.,544673,BSE
Unisem Agritech,544648,BSE
Bharat Electron,BEL,NSE
Fujiyama Power,UTLSOLAR,NSE
Chiraharit,544561,BSE
Goel Construct.,544504,BSE
A B B,ABB,NSE
Sacheerome,SACHEEROME,NSE
Lakhotia Poly.,535387,BSE
Rachit Prints,544503,BSE
IB Infotech,519463,BSE
City Online Ser.,538674,BSE
Lloyds Metals,LLOYDSME,NSE
Aptus Pharma,544529,BSE
Biopol Chemicals,BIOPOL,NSE
3M India,3MINDIA,NSE
Solar Industries,SOLARINDS,NSE
Western Overseas,544636,BSE
Tuticorin Alkali,506808,BSE
Inox India,INOXINDIA,NSE
E Factor Experie,EFACTOR,NSE
Abram Food,544422,BSE
Slone Infosys.,SLONE,NSE
Wealth First Por,WEALTH,NSE
Medistep Health.,MEDISTEP,NSE
Indo Tech.Trans.,INDOTECH,NSE
Apex Ecotech,APEXECO,NSE
Infosys,INFY,NSE
21st Cent. Mgmt.,21STCENMGM,NSE
CG Power & Ind,CGPOWER,NSE
Shreeji Global,SHETHJI,NSE
Benares Hotels,509438,BSE
Zen Technologies,ZENTEC,NSE
RMC Switchgears,540358,BSE
SPEB Adhesives,SPEB,NSE
Jyothy Labs,JYOTHYLAB,NSE
Blue Cloud Soft.,539607,BSE
Avantel,AVANTEL,NSE
Sri Lotus,LOTUSDEV,NSE
Emergent Indust.,506180,BSE
Eco Recyc.,530643,BSE
Symphony,SYMPHONY,NSE
ITC,ITC,NSE
Concord Control,543619,BSE
Ajwa Fun World,526628,BSE
Garden Reach Sh.,GRSE,NSE
Gayatri Sugars,532183,BSE
Asston Pharmaceu,544445,BSE
S J Logistics (I,SJLOGISTIC,NSE
Silky Overseas,SILKY,NSE
Seshaasai Tech.,STYL,NSE
Admach Systems,544669,BSE
Digicontent,DGCONTENT,NSE
Cummins India,CUMMINSIND,NSE
Amal,506597,BSE
Tata Elxsi,TATAELXSI,NSE
Winsol Engineers,WINSOL,NSE
Jai Balaji Inds.,JAIBALAJI,NSE
Sunlite Recycli.,SUNLITE,NSE
Afcom Holdings,544224,BSE
Sihora Indust.,544585,BSE
Global Education,GLOBAL,NSE
Flywings Simula.,FWSTC,NSE
Vashishtha Lux.,544508,BSE
Sudeep Pharma,SUDEEPPHRM,NSE
The Bombay Burmah,BBTC,NSE
Aditya AMC,ABSLAMC,NSE
Dolat Algotech,DOLATALGO,NSE
Vikram Thermo,530477,BSE
