Name,Symbol,Exchange
Patil Automation,PATILAUTOM,NSE
Kriti Nutrients,KRITINUT,NSE
Integra Engg.,505358,BSE
Beacon Trust.,BEACON,NSE
Skipper,SKIPPER,NSE
Agarwal Toughene,AGARWALTUF,NSE
Shri Ahimsa,SHRIAHIMSA,NSE
Shyam Dhani Ind.,SHYAMDHANI,NSE
Jyoti CNC Auto.,JYOTICNC,NSE
Jasch Gauging,544112,BSE
Pranik Logistics,PRANIK,NSE
Zydus Lifesci.,ZYDUSLIFE,NSE
Krishna Defence,KRISHNADEF,NSE
Rappid Valves,RAPPID,NSE
James Warren Tea,538564,BSE
Padam Cotton,531395,BSE
Cellecor Gadgets,CELLECOR,NSE
Takyon Networks,544471,BSE
GHCL,GHCL,NSE
Nila Spaces,NILASPACES,NSE
Automotive Stamp,ASAL,NSE
Suba Hotels,SUBAHOTELS,NSE
C.E. Info System,MAPMYINDIA,NSE
Travels & Rent.,544242,BSE
Simplex Castings,513472,BSE
Nilachal Carbo,544510,BSE
Silkflex Polymer,SILKFLEX,NSE
Ashwini Contain.,ASHWINI,NSE
Intl. Travel Hse,500213,BSE
Khazanchi Jewell,543953,BSE
Saksoft,SAKSOFT,NSE
Avanti Feeds,AVANTIFEED,NSE
Baroda Extrusion,513502,BSE
Guj. Toolroom,513337,BSE
Piotex Indus.,544178,BSE
Parmeshwar Metal,544330,BSE
D.K. Enterprises,DKEGL,NSE
Prithvi Exchange,531688,BSE
Srivasavi Adhes.,SRIVASAVI,NSE
KSB,KSB,NSE
Premium Plast,PREMIUM,NSE
NAPS Global,544373,BSE
Zeal Global Serv,ZEAL,NSE
Fineotex Chem,FCL,NSE
Kernex Microsys.,KERNEX,NSE
Hindustan Copper,HINDCOPPER,NSE
Inspirisys Sol.,INSPIRISYS,NSE
Mother Nutri,544623,BSE
Bemco Hydraulics,522650,BSE
Paradeep Pari.,544383,BSE
Veedol Corporat,VEEDOL,NSE
UTI AMC,UTIAMC,NSE
Cello World,CELLO,NSE
Narmadesh Brass,544680,BSE
Indobell Insul.,544334,BSE
Jyoti Global,JYOTIGLOBL,NSE
EPack PrefabTech,EPACKPEB,NSE
Arham Tech,ARHAM,NSE
DRS Dilip Road,DRSDILIP,NSE
CMS Info Systems,CMSINFO,NSE
Accent Microcell,ACCENTMIC,NSE
N G Industries,530897,BSE
Naapbooks,543351,BSE
Cargotrans Marit,543618,BSE
Forge Auto,FORGEAUTO,NSE
Sattrix Infor.,544189,BSE
Alufluoride,524634,BSE
Lotus Chocolate,523475,BSE
U P Hotels,509960,BSE
Indian Emuls,IEML,NSE
N S D L,544467,BSE
Man Infra,MANINFRA,NSE
IIRM Holdings,526530,BSE
EIH,EIHOTEL,NSE
Identical Brains,IDENTICAL,NSE
OBSC Perfection,OBSCP,NSE
Jinkushal Indus.,JKIPL,NSE
Delta Auto.,DELTIC,NSE
Grauer & Weil,GRAUWEIL,NSE
Cochin Minerals,513353,BSE
Kovai Medical,KOVAI,NSE
Globe Civil,GLOBECIVIL,NSE
Malpani Pipes,544351,BSE
Chetana Educa.,CHETANA,NSE
Godawari Power,GPIL,NSE
Coromandel Inter,COROMANDEL,NSE
Rudra Gas,544121,BSE
Vasa Denticity,DENTALKART,NSE
ICRA,ICRA,NSE
Vaishno Cement,526941,BSE
Manorama Indust.,MANORAMA,NSE
Elantas Beck,500123,BSE
RR Metalmakers,531667,BSE
Fermenta Biotec.,506414,BSE
Faalcon Concepts,FAALCON,NSE
Jagsonpal Pharma,JAGSNPHARM,NSE
High Energy Bat.,504176,BSE
Kundan Edifice,KEL,NSE
Power Mech Proj.,POWERMECH,NSE
Magellanic Cloud,MCLOUD,NSE
Mahanagar Gas,MGL,NSE
Pricol Ltd,PRICOLLTD,NSE
P I Industries,PIIND,NSE
R Systems Intl.,RSYSTEMS,NSE
NDR Auto Compon.,NDRAUTO,NSE
Karnika Industri,KARNIKA,NSE
Rolex Rings,ROLEXRINGS,NSE
SJS Enterprises,SJS,NSE
Sanrhea Tech.,514280,BSE
Antelopus Selan,ANTELOPUS,NSE
Supreme Petroch.,SPLPETRO,NSE
Telogica,532975,BSE
Gabion Technol.,544675,BSE
Cipla,CIPLA,NSE
Mphasis,MPHASIS,NSE
Dr Reddy's Labs,DRREDDY,NSE
Boss Packaging,BOSS,NSE
Piccadily Agro,PICCADIL,NSE
Press. Senstive,526773,BSE
Sumuka Agro,532070,BSE
Gujarat Peanut,544548,BSE
Prime Securities,PRIMESECU,NSE
Nucleus Soft.,NUCLEUS,NSE
Mardia Samyoung,513544,BSE
Oval Projects,544498,BSE
Studds Accessor.,STUDDS,NSE
Ameya Precision,AMEYA,NSE
Adani Power,ADANIPOWER,NSE
Afcons Infrastr.,AFCONS,NSE
Amrutanjan Healt,AMRUTANJAN,NSE
Linc,LINC,NSE
Bodhi Tree,BTML,NSE
Pelatro,PELATRO,NSE
H.M. Electro,544349,BSE
Vision Corpn.,531668,BSE
Cera Sanitary.,CERA,NSE
Bansal Roofing,538546,BSE
Leo Dryfruits,544329,BSE
Suntech Infra.,SUNTECH,NSE
Veritaas Adver.,VERITAAS,NSE
APL Apollo Tubes,APLAPOLLO,NSE
Jhandewala Foods,540850,BSE
Pudumjee Paper,PDMJEPAPER,NSE
ION Exchange,IONEXCHANG,NSE
Aeroflex,AEROFLEX,NSE
HVAX Technolog.,HVAX,NSE
Classic Electrod,CLASSICEIL,NSE
Automotive Axles,AUTOAXLES,NSE
Aztec Fluids,544177,BSE
Jayant Infratech,543544,BSE
Secmark Consult.,SECMARK,NSE
Spunweb Nonwoven,SPUNWEB,NSE
Unimech Aero.,UNIMECH,NSE
Valencia India,544433,BSE
AccelerateBS Ind,543938,BSE
Royal Arc Ele.,ROYALARC,NSE
Premier Roadline,PRLIND,NSE
CFF Fluid,543920,BSE
Pearl Global Ind,PGIL,NSE
Thejo Engg.,THEJO,NSE
Gujarat Intrux,517372,BSE
Supreme Inds.,SUPREMEIND,NSE
AGI Infra,AGIIL,NSE
TSC India,TSC,NSE
Dhanalaxmi Roto,521216,BSE
Himadri Special,HSCL,NSE
Silver Touch,SILVERTUC,NSE
Sealmatic India,543782,BSE
Fabtech Tech.,FABTECH,NSE
Share Samadhan,544251,BSE
Sunrise Efficie.,543515,BSE
De Neers Tools,DENEERS,NSE
Sunrakshakk Inds,539300,BSE
Mach Conferences,544248,BSE
Elgi Equipments,ELGIEQUIP,NSE
Vilas Transcore,VILAS,NSE
Sanghvi Brands,540782,BSE
GPT Infraproject,GPTINFRA,NSE
Sonal Adhesives,526901,BSE
Atmastco Ltd,ATMASTCO,NSE
Railtel Corpn.,RAILTEL,NSE
Carraro India,CARRARO,NSE
Rites,RITES,NSE
Baheti Recycling,BAHETI,NSE
TRF,TRF,NSE
Bhatia Communic.,540956,BSE
Tube Investments,TIINDIA,NSE
Utssav CZ Gold,UTSSAV,NSE
Taylormade Renew,541228,BSE
P. H. Capital,500143,BSE
Krishana Phosch.,KRISHANA,NSE
Kross Ltd,KROSS,NSE
Midwest,MIDWESTLTD,NSE
NCC,NCC,NSE
Maruti Suzuki,MARUTI,NSE
Aluwind Infra,ALUWIND,NSE
Forcas Studio,FORCAS,NSE
Kilburn Engg.,522101,BSE
Redtape,REDTAPE,NSE
Interiors & More,INM,NSE
Shri Techtex,SHRITECH,NSE
Pfizer,PFIZER,NSE
Davin Sons Reta,544331,BSE
Neptune Logitek,544663,BSE
Hind Rectifiers,HIRECT,NSE
Menon Pistons,531727,BSE
UVS Hospitality,531652,BSE
Ratnamani Metals,RATNAMANI,NSE
Alacrity Sec.,535916,BSE
Gravita India,GRAVITA,NSE
Jupiter Wagons,JWL,NSE
PDP Shipping,544378,BSE
Expleo Solutions,EXPLEOSOL,NSE
Frog Innovations,FROG,NSE
Energy-Mission,EMMIL,NSE
KSH Internationa,KSHINTL,NSE
Ahm. Steelcraft,522273,BSE
Bulkcorp Inter.,BULKCORP,NSE
Chandni Machines,542627,BSE
EFC (I),EFCIL,NSE
Medico Remedies,MEDICO,NSE
Lupin,LUPIN,NSE
P.E. Analytics,PROPEQUITY,NSE
Tolins Tyres,TOLINS,NSE
Bajaj Steel Inds,507944,BSE
Indian Metals,IMFA,NSE
KEI Industries,KEI,NSE
Zensar Tech.,ZENSARTECH,NSE
Cont. Petroleums,523232,BSE
Bhaskar Agrochem,524534,BSE
Arihant Capital,ARIHANTCAP,NSE
Tankup Engi.,TANKUP,NSE
Anand Rathi Shar,ARSSBL,NSE
Welspun Corp,WELCORP,NSE
Spright Agro,531205,BSE
Sky Gold & Diam.,SKYGOLD,NSE
Aeron Composites,AERON,NSE
Bombay Super Hyb,BSHSL,NSE
Fabtech Techn.,544332,BSE
Indo US Bio-Tech,INDOUS,NSE
Valiant Commun.,526775,BSE
Creative Newtech,CNL,NSE
Megatherm Indu.,MEGATHERM,NSE
Vinyl Chemicals,VINYLINDIA,NSE
NESCO,NESCO,NSE
Aesthetik Engi.,AESTHETIK,NSE
Yajur Fibres,544676,BSE
Bosch,BOSCHLTD,NSE
Beezaasan Exp.,544369,BSE
Allied Blenders,ABDL,NSE
D B Corp,DBCORP,NSE
Setco Automotive,SETCO,NSE
SNL Bearings,505827,BSE
Data Pattern,DATAPATTNS,NSE
Monika Alcobev,544451,BSE
Birlasoft Ltd,BSOFT,NSE
Timken India,TIMKEN,NSE
Vijaya Diagnost.,VIJAYA,NSE
Grindwell Norton,GRINDWELL,NSE
Refex Industries,REFEX,NSE
Easy Trip Plann.,EASEMYTRIP,NSE
AWL Agri Busine.,AWL,NSE
VST Industries,VSTIND,NSE
Indraprastha Gas,IGL,NSE
Synergy Green,SGIL,NSE
OneClick Logisti,OLIL,NSE
Sellowrap Indus.,SELLOWRAP,NSE
Narmada Macplast,517431,BSE
Navigant Corp.,539521,BSE
Rajputana Bio.,RAJPUTANA,NSE
Servotech Renew,SERVOTECH,NSE
Dynavision,517238,BSE
Sandur Manganese,SANDUMA,NSE
Narayana Hrudaya,NH,NSE
KRN Heat Exchan,KRN,NSE
Jamna Auto Inds.,JAMNAAUTO,NSE
Karnawati Innovation,531671,BSE
Emcure Pharma,EMCURE,NSE
Surya Roshni,SURYAROSNI,NSE
Mayur Uniquoters,MAYURUNIQ,NSE
Kumbhat Fin.,526869,BSE
Hypersoft Tech.,539724,BSE
ICE Make Refrig.,ICEMAKE,NSE
Pradeep Metals,513532,BSE
Ascensive Educa.,543443,BSE
Silicon Rental,543615,BSE
Vinati Organics,VINATIORGA,NSE
Thinking Hats,THESL,NSE
Systematic Inds.,544541,BSE
Garware Hi Tech,GRWRHITECH,NSE
Amba Enterprises,539196,BSE
Modern Engineer.,539762,BSE
Olectra Greentec,OLECTRA,NSE
Transport Corp.,TCI,NSE
Cenlub Industrie,522251,BSE
Netlink Solns(I),509040,BSE
Clear Secured,CSSL,NSE
G G Automotive,531399,BSE
Divi's Lab.,DIVISLAB,NSE
Siyaram Silk,SIYSIL,NSE
GLEN Industries,544444,BSE
Panama Petrochem,PANAMAPET,NSE
Dhabriya Poly.,538715,BSE
Kings Infra,530215,BSE
Sun TV Network,SUNTV,NSE
Raghunath Intl.,526813,BSE
Nuvama Wealth,NUVAMA,NSE
Vijaypd Ceutical,VIJAYPD,NSE
RBZ Jewellers Lt,RBZJEWEL,NSE
Emk.Global Fin.,EMKAY,NSE
Alkem Lab,ALKEM,NSE
Thomas Scott,THOMASCOTT,NSE
Krishca Strapp.,KRISHCA,NSE
Sonu Infratech,SONUINFRA,NSE
Park Medi World,PARKHOSPS,NSE
Atishay,538713,BSE
Cochin Shipyard,COCHINSHIP,NSE
Scoda Tubes,SCODATUBES,NSE
Coforge,COFORGE,NSE
Relicab Cable,539760,BSE
ARCL Organics,543993,BSE
Giriraj Civil,GIRIRAJ,NSE
TajGVK Hotels,TAJGVK,NSE
Ador Welding,ADOR,NSE
Atam Valves,ATAM,NSE
Dabur India,DABUR,NSE
Sun Pharma.Inds.,SUNPHARMA,NSE
Ideal Technopl.,IDEALTECHO,NSE
Shah Foods,519031,BSE
Ram Ratna Wires,RAMRAT,NSE
Auto.Corp.of Goa,505036,BSE
Master Component,MASTER,NSE
HRS Aluglaze,544656,BSE
ZF Commercial,ZFCVINDIA,NSE
Ecoplast,526703,BSE
Handson Global,HGM,NSE
Marco Cables,MARCO,NSE
B N Rathi Sec.,523019,BSE
Campus Activewe.,CAMPUS,NSE
RPP Infra Proj.,RPPINFRA,NSE
Solarium Green,544354,BSE
Kaveri Seed Co.,KSCL,NSE
Poly Medicure,POLYMED,NSE
Elixir Capital,531278,BSE
Krishanveer Forg,513369,BSE
Vision Infra,VIESL,NSE
Abril Paper,544500,BSE
Vadilal Enterp.,519152,BSE
Saint-Gob. Sekur,515043,BSE
TCPL Packaging,TCPLPACK,NSE
Marksans Pharma,MARKSANS,NSE
Zodiac Energy,ZODIAC,NSE
Assoc.Alcohols,ASALCBR,NSE
Amines & Plast.,AMNPLST,NSE
J.G.Chemicals,JGCHEM,NSE
Varun Beverages,VBL,NSE
J Kumar Infra,JKIL,NSE
Sirca Paints,SIRCA,NSE
Tata Motors PVeh,TMPV,NSE
Choice Intl.,CHOICEIN,NSE
Subros,SUBROS,NSE
Narmada Gelatine,526739,BSE
Acutaas Chemical,ACUTAAS,NSE
Tunwal E-Motors,TUNWAL,NSE
E to E Transportation,E2ERAIL,NSE
AGI Greenpac,AGI,NSE
Golkunda Diamond,523676,BSE
NILE,530129,BSE
L G Balakrishnan,LGBBROSLTD,NSE
Khyati Global,544270,BSE
TPL Plastech,TPLPLASTEH,NSE
IFB Industries,IFBIND,NSE
Power & Instrum.,PIGL,NSE
K P R Mill Ltd,KPRMILL,NSE
GNG Electronics,EBGNG,NSE
Wendt India,WENDT,NSE
R R Kabel,RRKABEL,NSE
Axtel Industries,523850,BSE
Transvoy Logist.,543754,BSE
Global Health,MEDANTA,NSE
Holmarc Opto,HOLMARC,NSE
Astral,ASTRAL,NSE
Gem Enviro,544199,BSE
Va Tech Wabag,WABAG,NSE
Rajeshwari Cans,543285,BSE
Interactive Fin,539692,BSE
Divine Hira Jew.,DIVINEHIRA,NSE
Resgen,543805,BSE
Shree OSFM,SHREEOSFM,NSE
Stallion India,STALLION,NSE
Bharat Dynamics,BDL,NSE
Remus Pharma.,REMUS,NSE
Prakash Steelage,PRAKASHSTL,NSE
Menon Bearings,MENONBE,NSE
Alphalogic Indu,543937,BSE
Federal-Mogul Go,FMGOETZE,NSE
MKP Mobility,521244,BSE
Highway Infra,HILINFRA,NSE
Kamat Hotels,KAMATHOTEL,NSE
Pasari Spinning,521080,BSE
Nettlinx,511658,BSE
Arih.Found.Hsg.,531381,BSE
Wipro,WIPRO,NSE
Indigo Paints,INDIGOPNTS,NSE
Gujarat Gas,GUJGASLTD,NSE
VTM,532893,BSE
Rockingdeals Cir,ROCKINGDCE,NSE
Aditya Infotech,CPPLUS,NSE
Autoriders Intl.,512277,BSE
Kaka Industries,543939,BSE
Grand Continent,GCHOTELS,NSE
Toss The Coin,544303,BSE
Cybertech Sys.,CYBERTECH,NSE
Delton Cables,504240,BSE
Hitachi Energy,POWERINDIA,NSE
SP Refractories,SPRL,NSE
Gem Aromatics,GEMAROMA,NSE
AVI Polymers,539288,BSE
Metro Brands,METROBRAND,NSE
Matrimony.com,MATRIMONY,NSE
P N Gadgil Jewe.,PNGJL,NSE
Glenmark Pharma.,GLENMARK,NSE
Shivalic Power,SPCL,NSE
Ceigall India,CEIGALL,NSE
Jindal Saw,JINDALSAW,NSE
Nila Infrastruct,NILAINFRA,NSE
PG Electroplast,PGEL,NSE
Anlon Tech,ANLON,NSE
Talbros Auto.,TALBROAUTO,NSE
ASM Technologies,526433,BSE
P S Raj Steels,PSRAJ,NSE
Dolphin Kitchen Utensils,544170,BSE
ATC Energies,ATCENERGY,NSE
All Time Plastic,ALLTIME,NSE
H P Cotton Tex,502873,BSE
Genus Power,GENUSPOWER,NSE
Godrej Consumer,GODREJCP,NSE
Shree Ganesh Rem,540737,BSE
Gallantt Ispat L,GALLANTT,NSE
MOS Utility,MOS,NSE
Laxmi Dental,LAXMIDENTL,NSE
L T Foods,LTFOODS,NSE
Nupur Recyclers,NRL,NSE
Happy Forgings,HAPPYFORGE,NSE
20 Microns,20MICRONS,NSE
Titan Company,TITAN,NSE
Aditya Vision,AVL,NSE
Rukmani Devi Gar,544552,BSE
Namo eWaste,NAMOEWASTE,NSE
Credo Brands,MUFTI,NSE
Bajaj Consumer,BAJAJCON,NSE
Foce India,FOCE,NSE
Covidh Technolog,534920,BSE
Arvind SmartSp.,ARVSMART,NSE
Kakatiya Textile,521054,BSE
HEC Infra Proj.,HECPROJECT,NSE
Roto Pumps,ROTO,NSE
Lumax Auto Tech.,LUMAXTECH,NSE
Prime Fresh,540404,BSE
Share India Sec.,SHAREINDIA,NSE
Crompton Gr. Con,CROMPTON,NSE
Viram Suvarn,540252,BSE
Black Rose Indus,514183,BSE
Ganesh Consumer,GANESHCP,NSE
Dhara Rail Pro.,DHARARAIL,NSE
Anantam Highways,ANANTAM,NSE
Fredun Pharma,539730,BSE
AIA Engineering,AIAENG,NSE
Sayaji (Indore),544080,BSE
Redington,REDINGTON,NSE
Crown Lifters,CROWN,NSE
Markolines Pavem,MARKOLINES,NSE
Gothi Plascon,531111,BSE
Kaushalya,KLL,NSE
N R Vandana,NRVANDANA,NSE
Geojit Fin. Ser.,GEOJITFSL,NSE
Uno Minda,UNOMINDA,NSE
Star Delta Trans,539255,BSE
MOIL,MOIL,NSE
Radix Industries,531412,BSE
Usha Martin,USHAMART,NSE
Brisk Technovisi,544101,BSE
Vidhi Specialty,VIDHIING,NSE
CG-VAK Software,531489,BSE
B C C Fuba India,517246,BSE
Astra Microwave,ASTRAMICRO,NSE
Medi Assist Ser.,MEDIASSIST,NSE
Ruchira Papers,RUCHIRA,NSE
Indo Borax & Ch.,INDOBORAX,NSE
Thomas Cook (I),THOMASCOOK,NSE
SM Auto Stamping,543065,BSE
Rainbow Child.,RAINBOW,NSE
CHL,532992,BSE
Arabian Petrol.,ARABIAN,NSE
Motil.Oswal.Fin.,MOTILALOFS,NSE
Safari Inds.,SAFARI,NSE
Alkyl Amines,ALKYLAMINE,NSE
Neuland Labs.,NEULANDLAB,NSE
Modi Naturals,MODINATUR,NSE
Ashapura Minech.,ASHAPURMIN,NSE
Aaron Industries,AARON,NSE
Quality RO Indu.,543460,BSE
Syncom Formul.,SYNCOMF,NSE
Laxmipati Engg,537669,BSE
TBI Corn,TBI,NSE
Multibase India,526169,BSE
Tech Mahindra,TECHM,NSE
Platinum Industr,PLATIND,NSE
Mewar Hi-Tech,540150,BSE
Sodhani Academy,544257,BSE
Spinaroo Comm.,544392,BSE
Dhariwalcorp,DHARIWAL,NSE
Touchwood Enter.,TOUCHWOOD,NSE
Ahluwalia Contr.,AHLUCONT,NSE
Control Print,CONTROLPR,NSE
Trom Industries,TROM,NSE
Emerald Finance,538882,BSE
Vaidya Sane,MADHAVBAUG,NSE
A B Infrabuild,ABINFRA,NSE
Honeywell Auto,HONAUT,NSE
Kwality Pharma,539997,BSE
LKP Securities,540192,BSE
Macobs Technolo.,MACOBSTECH,NSE
Aries Agro,ARIES,NSE
Laxmi Goldorna,LGHL,NSE
Guj. Containers,513507,BSE
Dhanuka Infra Realty,DIRL,NSE
Vraj Iron,VRAJ,NSE
Par Drugs & Che.,PAR,NSE
Gowra Leasing,530709,BSE
Rolcon Engg. Co.,505807,BSE
Morgan Ventures,526237,BSE
Indo Amines,INDOAMIN,NSE
Century Extrus.,CENTEXT,NSE
Womancart,WOMANCART,NSE
Abha Power,ABHAPOWER,NSE
Ellen.Indl.Gas,ELLEN,NSE
Storage Tech,544171,BSE
Steel City Sec.,STEELCITY,NSE
Kewal Kir.Cloth.,KKCL,NSE
Cantabil Retail,CANTABIL,NSE
Welspun Enterp,WELENT,NSE
Jindal Stain.,JSL,NSE
Bikaji Foods,BIKAJI,NSE
G M Breweries,GMBREW,NSE
Wonder Electric.,WEL,NSE
Trident Lifeline,543616,BSE
K2 Infragen,K2INFRA,NSE
Swaraj Suiting,SWARAJ,NSE
Rajputana Indu.,RAJINDLTD,NSE
Aurionpro Sol.,AURIONPRO,NSE
Vishnu Chemicals,VISHNU,NSE
Unjha Formul.,531762,BSE
BASF India,BASF,NSE
Capacit'e Infra.,CAPACITE,NSE
WSFX Global,511147,BSE
M B Agro Prod.,MBAPL,NSE
Saven Tech.,532404,BSE
Sungarner Energ.,SEL,NSE
KEC International,KEC,NSE
Som Distilleries,SDBL,NSE
Avenue Super.,DMART,NSE
Jupiter Life Lin,JLHL,NSE
R S Software (I),RSSOFTWARE,NSE
Praj Industries,PRAJIND,NSE
Orient Electric,ORIENTELEC,NSE
Iris Clothings,IRISDOREME,NSE
B.R.Goyal Infra.,544335,BSE
Esconet,ESCONET,NSE
Chavda Infra Ltd,CHAVDA,NSE
Suraksha Diagno.,SURAKSHA,NSE
Shree Refrigerat,544458,BSE
BDH Industries,524828,BSE
Sona BLW Precis.,SONACOMS,NSE
Tega Inds.,TEGA,NSE
RDB Rasayans,533608,BSE
Ritesh Intl.,519097,BSE
Jeyyam Global,JEYYAM,NSE
Route Mobile,ROUTE,NSE
Oberoi Realty,OBEROIRLTY,NSE
Manoj Ceramic,544073,BSE
Galaxy Medicare,GML,NSE
Raghuvir Synth,514316,BSE
Maruti Interior,543464,BSE
Northern Spirits,542628,BSE
Finolex Cables,FINCABLES,NSE
Sh. Hari Chem.,524336,BSE
Jonjua Overseas,542446,BSE
Bhagwati Auto,504646,BSE
Voltas,VOLTAS,NSE
Phantom Digital,PHANTOMFX,NSE
JSL Industries,504080,BSE
Agarwal Float,AGARWALFT,NSE
Panasonic Energy,504093,BSE
Ganesh Benzopl.,GANESHBE,NSE
Kennametal India,KENNAMET,NSE
B & A Packaging,523186,BSE
Goel Food,543538,BSE
Dr Agarwal's Eye,526783,BSE
GRP,GRPLTD,NSE
KPI Green Energy,KPIGREEN,NSE
EPL Ltd,EPL,NSE
Adani Total Gas,ATGL,NSE
Shree Marutinand,544083,BSE
Suraj Products,518075,BSE
Taneja Aerospace,522229,BSE
Shradha AI Tech,543976,BSE
Coral Labs.,524506,BSE
ACC,ACC,NSE
Aarti Pharma,AARTIPHARM,NSE
Bharti Hexacom,BHARTIHEXA,NSE
Indian Sucrose,500319,BSE
Ultracab India,538706,BSE
Insecticid.India,INSECTICID,NSE
Harshil Agrotech,505336,BSE
Aveer Foods,543737,BSE
KMC Speciality,524520,BSE
Goyal Associates,530663,BSE
Aspira Pathlab,540788,BSE
Royal Orch.Hotel,ROHLTD,NSE
Nitin Castings,508875,BSE
Time Technoplast,TIMETECHNO,NSE
Rajgor Castor,RCDL,NSE
Interglobe Aviat,INDIGO,NSE
Patel Retail,PATELRMART,NSE
Rategain Travel,RATEGAIN,NSE
Astonea Labs,544409,BSE
Joindre Capital,531861,BSE
Lincoln Pharma.,LINCOLN,NSE
Mastek,MASTEK,NSE
Shree Metalloys,531962,BSE
Tara Chand Infra,TARACHAND,NSE
Suraj Estate,SURAJEST,NSE
Endurance Tech.,ENDURANCE,NSE
Growington Vent,539222,BSE
Hind.Adhesive,514428,BSE
National Plastic,531287,BSE
Anuh Pharma,ANUHPHR,NSE
Yash Optics,YASHOPTICS,NSE
Mangal Compuso.,544287,BSE
V-Guard Industri,VGUARD,NSE
Shera Energy,SHERA,NSE
ITCONS E-Soluti.,543806,BSE
Indian Hotels Co,INDHOTEL,NSE
Twamev Constr.,TICL,NSE
Bella Casa Fashi,BELLACASA,NSE
Saregama India,SAREGAMA,NSE
Kabra Jewels,KKJEWELS,NSE
Shanmuga Hos.,544365,BSE
Balmer Law. Inv.,532485,BSE
Savera Industrie,512634,BSE
Nava,NAVA,NSE
Unihealth Hosp,UNIHEALTH,NSE
DCG Cables,DCG,NSE
Sundram Fasten.,SUNDRMFAST,NSE
Kajaria Ceramics,KAJARIACER,NSE
Dolfin Rubbers,542013,BSE
Akar Auto Indust,530621,BSE
Kellton Tech,KELLTONTEC,NSE
Cupid,CUPID,NSE
Nikhil Adhesives,526159,BSE
Iconik Sports,511260,BSE
Gala Precis. Eng,GALAPREC,NSE
Dachepalli Pub.,544667,BSE
Transcorp Intl.,532410,BSE
Varroc Engineer,VARROC,NSE
Orbit Exports,ORBTEXP,NSE
Pitti Engg.,PITTIENG,NSE
Response Info.,538273,BSE
Kunststoff Inds.,523594,BSE
IKOMA Technologies,531997,BSE
Lorenzini Appar.,LAL,NSE
Novartis India,NOVARTIND,NSE
Panasonic Carbon,508941,BSE
York Exports,530675,BSE
SBC Exports,SBC,NSE
Shaily Engineer.,SHAILY,NSE
Sterling & Wils.,SWSOLAR,NSE
Hannah Joseph,544687,BSE
Eveready Inds.,EVEREADY,NSE
Windlas Biotech,WINDLAS,NSE
Arvind Fashions.,ARVINDFASN,NSE
Goyal Salt,GOYALSALT,NSE
ADF Foods,ADFFOODS,NSE
Linde India,LINDEINDIA,NSE
Agarwal Indl.,AGARIND,NSE
S P I C,SPIC,NSE
Titan Biotech,524717,BSE
Pondy Oxides,POCL,NSE
Prem. Explosives,PREMEXPLN,NSE
SBI Life Insuran,SBILIFE,NSE
Amkay Products,544169,BSE
Medicamen Organ.,MEDIORG,NSE
Om Freight Forwa,OMFREIGHT,NSE
V2 Retail,V2RETAIL,NSE
Ultra Wiring,UWCSL,NSE
Ramky Infra,RAMKY,NSE
Affle 3i,AFFLE,NSE
Krystal Integrat,KRYSTAL,NSE
Refractory Shap.,REFRACTORY,NSE
InfoBeans Tech.,INFOBEAN,NSE
Transteel Seatin,TRANSTEEL,NSE
Signoria Creatio,SIGNORIA,NSE
Kontor Space,KONTOR,NSE
Steel Str. Wheel,SSWL,NSE
Intellect Design,INTELLECT,NSE
Shankara Building,SHANKARA,NSE
H.G. Infra Engg.,HGINFRA,NSE
Amara Raja Ener.,ARE&M,NSE
Mangalam Global,MGEL,NSE
Espire Hospi,532016,BSE
Chamanlal Setia,CLSEL,NSE
Jigar Cables,540651,BSE
Sunita Tools Ltd,544001,BSE
Everlon Fin.,514358,BSE
Sky Industries,526479,BSE
M E T S,538401,BSE
Rikhav Securitie,544340,BSE
Balkrishna Inds,BALKRISIND,NSE
Bedmutha Indus.,BEDMUTHA,NSE
Source Natural,531398,BSE
Apollo Hospitals,APOLLOHOSP,NSE
Mah. Seamless,MAHSEAMLES,NSE
Shree Vasu Logis,SVLL,NSE
Edvenswa Enter,517170,BSE
Anuroop Packagin,542865,BSE
Siyaram Recycli.,544047,BSE
Cedaar Textile,CEDAAR,NSE
Mahasagar Travel,526795,BSE
Reliable Data,RELIABLE,NSE
QMS Medical,QMSMEDI,NSE
Asian Energy,ASIANENE,NSE
EID Parry,EIDPARRY,NSE
CIE Automotive,CIEINDIA,NSE
Godrej Agrovet,GODREJAGRO,NSE
Colab Platforms,542866,BSE
Cyient,CYIENT,NSE
Nidhi Granites,512103,BSE
Vasundhara Rasy.,538634,BSE
Nikita Greentech Recycling,NIKITA,NSE
Kanishk Alumin.,544693,BSE
IITL Projects,531968,BSE
MKVentures Cap.,514238,BSE
Titagarh Rail,TITAGARH,NSE
Techno Elec.Engg,TECHNOE,NSE
Vardhman Special,VSSL,NSE
Filtra Consult.,539098,BSE
Checkpoint Trend,531099,BSE
Sharda Cropchem,SHARDACROP,NSE
Standard Engineering Technology,SETL,NSE
Mayank Cattle Fo,544106,BSE
TeleCanor Global,530595,BSE
Bansal Wire Inds,BANSALWIRE,NSE
GACM Tech,GATECH,NSE
Privi Speci.,PRIVISCL,NSE
Excelsoft Tech.,EXCELSOFT,NSE
Titaanium Ten,539985,BSE
Lumax Industries,LUMAXIND,NSE
Mrs Bectors,BECTORFOOD,NSE
Nova Agritech,NOVAAGRI,NSE
